material_id,formula,formation_energy,ehull,band_gap,is_magnetic,magnetic_ordering,total_magnetization,spacegroup
mp-1183124,AcEuZn2,-0.261695901874999,0.0,0.0,True,FM,7.0232003,225
mp-977360,AcF3,-4.463333296875,0.0046541725,7.4101,False,NM,0.090988699999999,225
mp-861884,AcGaTe2,-1.071641271875002,0.23712917770833203,0.49099999999999905,False,NM,0.0,225
mp-24147,AcH2,-0.6843335983333341,0.0,0.0,False,NM,1.45e-05,225
mp-861605,AcH3,-0.671802030937499,0.0,0.640699999999999,False,NM,0.0,225
mp-861966,AcHgAu2,-0.657633783749999,0.015640561250009,0.0,False,NM,1.6e-06,225
mp-1183060,AcHgRh2,-0.32168960375000205,0.0,0.0,False,NM,3.1e-06,225
mp-1183055,AcHgTe2,-0.9881945362500061,0.26128807343749805,0.0,False,NM,2.5800000000000004e-05,225
mp-1183121,AcInAg2,-0.32719432937499704,0.019408126874985002,0.0,False,NM,3.6e-06,225
mp-862860,AcInAu2,-0.712694174374995,0.031915724351819004,0.0,False,NM,1.8500000000000002e-05,225
mp-867321,AcInHg2,-0.510612275624993,0.0,0.0,False,NM,1e-07,225
mp-861460,AcInTe2,-1.165022114374998,0.148074160729173,0.3799,False,NM,0.0,225
mp-1183118,AcLaCd2,-0.274911696875,0.0,0.0,False,NM,0.7053009,225
mp-1183101,AcLaMg2,-0.06782922937500101,0.012519636249998,0.0,False,NM,0.0022011,225
mp-984785,AcMg3,-0.031547879375001,0.010295386249998002,0.0,False,NM,1.3e-06,225
mp-865979,AcMgCd2,-0.238415764375,0.0,0.0,False,NM,3.6e-06,225
mp-866225,AcMgHg2,-0.421982165625006,0.0,0.0,False,NM,1.2e-06,225
mp-861735,AcMgTl2,-0.242557518541673,0.0,0.0,False,NM,4e-07,225
mp-1183182,AcMgZn2,-0.23583242437499802,0.0,0.0,False,NM,1.6e-06,225
mp-1183255,AcNb3,0.5851438668750001,0.5851438668750001,0.0,False,NM,0.0591021,225
mp-1183179,AcNdMg2,-0.055583684999999,0.021256512499997,0.0,False,NM,0.17784000000000003,225
mp-36526,AcOF,-4.159415700833336,0.0,4.256600000000001,False,NM,0.0,216
mp-867422,AcPbAu2,-0.6827262418750021,0.0,0.0,False,NM,1.65e-05,225
mp-1183181,AcPrMg2,-0.057254358541666,0.017942212499997,0.0,False,NM,1.54e-05,225
mp-1183220,AcRh2Pb,-0.346064169374997,0.0,0.0,False,NM,0.3409912,225
mp-862894,AcSbAu2,-0.719283556874998,0.15957276125000402,0.0,False,NM,3e-07,225
mp-865957,AcSnAu2,-0.7001559068750041,0.006366787812510001,0.0,False,NM,8e-07,225
mp-1183197,AcSnHg2,-0.48238412562499605,0.009158627638903,0.0,False,NM,1e-07,225
mp-1183243,AcSnPd2,-0.652294486875,0.13793988534884202,0.0,False,NM,2.29e-05,225
mp-865958,AcTlAg2,-0.236608026875003,0.0,0.0,False,NM,3e-07,225
mp-865952,AcTlAu2,-0.6485188643749991,0.0,0.0,False,NM,5.5700000000000005e-05,225
mp-984551,AcTlHg2,-0.453474278124999,0.0,0.0,False,NM,4.7e-06,225
mp-1183199,AcTlRh2,-0.345513796874996,0.0,0.0,False,NM,5.18e-05,225
mp-865028,AcTlTe2,-1.251402644791669,0.0,0.6253000000000001,False,NM,0.0,225
mp-1183236,AcYb3,0.09731830187499901,0.09731830187499901,0.0,False,NM,3.9e-06,225
mp-1183196,AcYbAg2,-0.232558955625002,0.08730051250000001,0.0,False,NM,1e-07,225
mp-1183185,AcYbAu2,-0.8039132281249971,0.11341952541663801,0.0,False,NM,2.499999999999999e-06,225
mp-979962,AcYbCd2,-0.287293888124999,0.048577086562495,0.0,False,NM,7e-07,225
mp-979981,AcYbGa2,-0.5005962431250021,0.066072811249995,0.0,False,NM,0.0,225
mp-866203,AcYbHg2,-0.485260694374999,0.0,0.0,False,NM,2e-07,225
mp-979950,AcYbMg2,-0.042261125624996,0.037518067499998004,0.0,False,NM,8e-07,225
mp-980005,AcYbRh2,-0.6750111106249931,0.0,0.0,False,NM,0.0277619,225
mp-1183192,AcYbTl2,-0.378423713124995,0.0,0.0,False,NM,3.1e-06,225
mp-865953,AcYbZn2,-0.24207845062499803,0.094026371874999,0.0,False,NM,0.022408499999999002,225
mp-1183174,AcZn2Cd,-0.23116120687500002,0.11425595874999601,0.0,False,NM,1.5e-06,225
mp-1183190,AcZn2In,-0.41620914276042204,0.024936667083331,0.0,False,NM,0.0004228,225
mp-861734,AcZnAu2,-0.544362240624998,0.11837836576921001,0.0,False,NM,4.33e-05,225
mp-124,Ag,0.0021267149999990003,0.0021267149999990003,0.0,False,NM,9e-07,225
mp-631581,Ag2BBr,0.968938673125001,1.298749192291667,0.0,False,NM,0.0067894,225
mp-1229090,Ag2S,-0.041446694270833,0.076927171666667,0.0,False,NM,3.52e-05,225
mp-1229100,Ag2Se,-0.10799439052083401,0.025343620000001003,0.0908,False,NM,0.0003142,225
mp-1120715,Ag3BiBr6,-0.49209170049999906,0.37268627349999905,0.0,False,NM,0.004148499999999,225
mp-985283,Ag3Ge,0.10019832625000101,0.10019832625000101,0.0,False,NM,0.0002327,225
mp-1183156,Ag3Rh,0.22892486250000102,0.22892486250000102,0.0,False,NM,0.0027619,225
mp-1183177,Ag3W,0.867660342500002,0.867660342500002,0.0,True,FM,0.318831,225
mp-1229225,Ag5BS4,-0.105090334749998,0.25383371713999603,0.0,False,NM,0.8500819,216
mp-696470,Ag7NO6,-0.15309539119047502,0.292906212142855,0.0,False,NM,0.006916999999999,216
mp-690667,Ag7NO8,0.457978192708334,0.9511527818749991,0.0,True,FM,12.0000003,225
mp-28963,Ag8S,0.229205100798607,0.268663056111108,0.0,False,NM,0.00039969999999900005,216
mp-37153,AgAsF6,-2.201692029895833,0.0,1.6805999999999992,False,NM,0.0,225
mp-631567,AgAsRu2,0.49340496645833504,0.664681081458333,0.0,False,NM,0.007090000000000001,216
mp-1183166,AgBiPd2,-0.188207855000001,0.014839621388887001,0.0,False,NM,1.5e-06,225
mp-23231,AgBr,-0.6596210383333321,0.0,0.730399999999999,False,NM,0.0,225
mp-866291,AgBr,-0.6291156683333321,0.030505370000000004,1.1708,False,NM,0.0,216
mp-1008653,AgC,2.236464982916667,2.236464982916667,0.0,False,NM,0.000321799999999,225
mp-1008912,AgC,2.258682377916667,2.258682377916667,0.0,False,NM,8.820000000000004e-05,216
mp-22922,AgCl,-0.568439933749999,0.0,0.9522,False,NM,0.0,225
mp-551758,AgClO4,-0.29747421361111104,0.11659305666666502,2.3744,False,NM,0.0,216
mp-7592,AgF,-1.122615552499999,0.0,0.0,False,NM,5e-07,225
mp-861501,AgHgPd2,-0.13944391354166502,0.0,0.0,False,NM,1e-07,225
mp-22919,AgI,-0.37274297833333203,0.095016919999999,0.7684000000000001,False,NM,0.0,225
mp-22925,AgI,-0.46535334333333106,0.0024065550000000003,1.3674,False,NM,0.0,216
mp-1009766,AgN,1.549489649166666,1.549489649166666,0.0,False,NM,0.004914099999999,216
mp-1056955,AgN,1.419704264166666,1.419704264166666,0.0,False,NM,0.0011466,225
mp-8222,AgO,-0.133878308333332,0.30869345749999905,0.0,False,NM,0.1343585,216
mp-34418,AgPF6,-2.364613824122023,0.0,3.2361,False,NM,0.0,225
mp-1183167,AgPdAu2,-0.08966036625000101,0.014482154772707001,0.0,False,NM,2.899999999999999e-06,225
mp-379,AgSe,-0.09097982345052101,0.020151804414062002,0.0,False,NM,2.2200000000000004e-05,216
mp-134,Al,0.0,0.0,0.0,False,NM,0.0,225
mp-3861,Al(MoS2)4,-0.9366198861410271,0.027628997820514003,0.0,True,FM,0.9989486,216
mp-1079140,Al(NF2)3,-0.1422048095,1.554771284250003,0.0,True,FM,5.5152765,225
mp-505473,Al(Ni10B7)2,-0.27968089766666504,0.029769778000000004,0.0,False,NM,0.0829882,225
mp-1103718,Al(VS2)4,-1.287627906923076,0.006691719230768001,0.0,True,FM,4.999898799999999,216
mp-1215158,Al12Ga(S2O33)2,-0.649302113463856,1.019987552831324,0.0,True,FM,21.1425209,216
mp-505572,Al13(CrSi)4,-0.13274694530612002,0.006798542448981,0.0,True,FM,1.8924858,216
mp-1198152,Al13Si5ClO38,-2.560690453333333,0.283793238684211,0.0,True,FM,18.0018515,216
mp-706657,Al13Si5H18ClO38,-2.597859470966665,0.027290358533337004,4.3438,False,NM,0.0003496,216
mp-1214897,Al2(Ni7B2)3,-0.347799906034481,0.0,0.0,False,NM,0.00019439999999900002,225
mp-1215020,Al2(Zn13Pd3)3,-0.301756588399999,0.0,0.0,False,NM,8e-07,216
mp-1214905,Al20(CoB2)3,0.111161514779312,0.301031245544828,0.0,True,FM,0.1987805,225
mp-1215027,Al21Pt5,-0.27458006867788504,0.30233520079326903,0.0,False,NM,0.4242028,216
mp-2647,Al2Au,-0.49509397333333505,0.0,0.0,False,NM,4e-07,225
mp-867319,Al2CoIr,-0.835120557500001,0.0,0.0,True,FM,0.4028231,225
mp-984352,Al2CoOs,-0.5402784149999991,0.0,0.0,False,NM,6e-07,225
mp-862695,Al2CoRu,-0.6617507237500011,0.0,0.0,False,NM,3.76e-05,225
mp-985806,Al2Cu,-0.21265698333333302,0.0,0.0,False,NM,0.0,225
mp-1183165,Al2CuPd,-0.5674328900000011,0.028162635124997,0.0,False,NM,4e-07,225
mp-862691,Al2FeCo,-0.46805296249999906,0.0,0.0,False,NM,0.0072225,225
mp-866031,Al2FeIr,-0.6807959575,0.0,0.0,True,FM,0.0687533,225
mp-867330,Al2FeNi,-0.499208689999998,0.024408005000000003,0.0,True,FM,0.2247,225
mp-1183147,Al2FeRh,-0.696539494999998,0.011389959999999,0.0,False,NM,0.0005847,225
mp-866284,Al2IrOs,-0.8285853749999991,0.0,0.0,False,NM,4e-07,225
mp-862694,Al2IrRh,-1.130865957499999,0.0,0.0,False,NM,7.2e-06,225
mp-865989,Al2IrRu,-0.984318068749999,0.0,0.0,False,NM,7e-07,225
mp-1183155,Al2NiOs,-0.607955297499998,0.0,0.0,False,NM,2.6400000000000005e-05,225
mp-867775,Al2NiRu,-0.743546901249999,0.0,0.0,False,NM,1e-07,225
mp-8022,Al2O,-0.14153484833333302,1.762104600555556,0.0,False,NM,0.0033274,225
mp-1183136,Al2OsRh,-0.8597437825,0.0,0.0,False,NM,1.3e-06,225
