material_id,formula,formation_energy,ehull,band_gap,is_magnetic_x,magnetic_ordering,total_magnetization_x,spacegroup,heusler_type,is_magnetic_y,total_magnetization_y
mp-861724,Ac2AgIr,-0.413285237500005,0.087117584479166,0.0,False,NM,1.42e-05,225,full,False,1.42e-05
mp-1183076,Ac2AgPb,-0.480278042500003,0.0,0.0,False,NM,0.9106046,225,full,False,0.9106046
mp-1183068,Ac2CdGa,-0.402831248749997,0.027136786875004,0.0,False,NM,4.7300000000000025e-05,225,full,False,4.7300000000000025e-05
mp-1183063,Ac2CdGe,-0.46480851375,0.05905399421875,0.0,False,NM,4e-06,225,full,False,4e-06
mp-1183086,Ac2CdHg,-0.433682350625005,0.0,0.0,False,NM,0.6282017,225,full,False,0.6282017
mp-862319,Ac2CdSn,-0.5426539487500001,0.074600257102297,0.0,False,NM,1.94e-05,225,full,False,1.94e-05
mp-862786,Ac2CuGe,-0.386251328749999,0.0,0.0,False,NM,0.0010705,225,full,False,0.0010705
mp-861883,Ac2CuIr,-0.342298746250001,0.0,0.0,False,NM,0.0001685,225,full,False,0.0001685
mp-1183120,Ac2CuRu,-0.016838317499995,0.003013580625008,0.0,False,NM,0.00012,225,full,False,0.00012
mp-867122,Ac2CuSi,-0.271164717499999,0.110748345156245,0.0,False,NM,5.43e-05,225,full,False,5.43e-05
mp-865470,Ac2CuSn,-0.374531716249997,0.142426585000002,0.0,False,NM,0.0144557,225,full,False,0.0144557
mp-862683,Ac2GaCu,-0.287378448749997,0.015807976562498,0.0,False,NM,1.0100000000000002e-05,225,full,False,1.0100000000000002e-05
mp-1183054,Ac2GaSi,-0.417242170000001,0.221917584374999,0.0,False,NM,7.499999999999998e-06,225,full,False,7.499999999999998e-06
mp-867241,Ac2GePd,-0.665207049999995,0.0,0.0,False,NM,1.1e-06,225,full,False,1.1e-06
mp-861872,Ac2HgGe,-0.583250138125002,0.0,0.0,False,NM,5e-07,225,full,False,5e-07
mp-1183377,Ac2InGa,-0.5060674862499961,0.0,0.0,False,NM,2.2e-06,225,full,False,2.2e-06
mp-865951,Ac2IrAu,-0.695376886249995,0.0,0.0,False,NM,8e-07,225,full,False,8e-07
mp-866107,Ac2IrPd,-0.6663974312499971,0.0,0.0,False,NM,5.299999999999997e-06,225,full,False,5.299999999999997e-06
mp-1183093,Ac2IrRh,-0.534733513749998,0.0,0.0,False,NM,0.0008191,225,full,False,0.0008191
mp-1183074,Ac2MgGa,-0.228840256874998,0.0,0.0,False,NM,0.000180999999999,225,full,False,0.000180999999999
mp-1183078,Ac2MgPb,-0.26746134,0.0,0.0,False,NM,1.22e-05,225,full,False,1.22e-05
mp-866103,Ac2MgSn,-0.344917513749998,0.0,0.0,False,NM,2.71e-05,225,full,False,2.71e-05
mp-1183079,Ac2MgTl,-0.199245293333332,0.0,0.0,False,NM,0.0008679,225,full,False,0.0008679
mp-983587,Ac2NiGe,-0.343780956250007,0.103388868906243,0.0,False,NM,1.04e-05,225,full,False,1.04e-05
mp-862849,Ac2NiIr,-0.324698736250006,0.0,0.0,False,NM,1.3e-06,225,full,False,1.3e-06
